"Gene_Symbol"	"N"	"Beta"	"SE"	"tval"	"df"	"pval"	"ci.lb"	"ci.ub"	"adjP"
"GOLM1"	69	-0.201616306344405	0.0389572636472481	-5.17532001657018	68	2.18917579551344e-06	-0.27935431560601	-0.1238782970828	1.84149781934316e-05
"GOLPH3"	70	0.0113498154027639	0.0445701946742426	0.254650343928676	69	0.799750599240684	-0.0775652901130534	0.100264920918581	0.871579010570839
"GOLPH3L"	70	0.215258981389625	0.0593930898180168	3.62431020257051	69	0.000549781181808765	0.0967730091681201	0.33374495361113	0.00240584852532689
"GOLT1A"	17	0.2771260946182	0.141406147938384	1.95978816097129	16	0.0676770316507678	-0.0226415477388449	0.576893736975246	0.145198947294451
"GOLT1B"	70	-0.0567527835278577	0.0571407972289099	-0.993209515444845	69	0.324078198306695	-0.170745554975244	0.0572399879195284	0.475852425686047
"GON4L"	70	-0.0196739518617059	0.0412897667459755	-0.476484935910264	69	0.635234403842083	-0.102044782722437	0.0626968789990253	0.749269889717382
"GON7"	70	-0.39585517706483	0.0556053931374627	-7.11900689356214	69	8.09241436415269e-10	-0.506784901159647	-0.284925452970013	1.85248643370108e-08
"GOPC"	70	-0.0445078162010789	0.0413524354323403	-1.07630459332683	69	0.285539967764702	-0.127003667670344	0.0379880352681866	0.434658767839461
"GORAB"	67	0.00581626012114917	0.0537613467595283	0.108186652152986	66	0.914175861542822	-0.101521731933882	0.11315425217618	0.946829572803982
"GORASP1"	70	-0.143064827257552	0.0434300959466766	-3.29414025318312	69	0.00156006257473481	-0.229705498044042	-0.0564241564710623	0.00598914988452189
"GORASP2"	70	-0.0675007759133829	0.0390846835636088	-1.72703907922212	69	0.088635065863246	-0.145472586189521	0.0104710343627557	0.180277189710116
"GOSR1"	70	-0.0108389826860033	0.0404801169755831	-0.267760656238745	69	0.789682353367098	-0.0915946064494475	0.0699166410774409	0.864586811052912
"GOSR2"	70	-0.15068726149945	0.0408028297171117	-3.6930590977188	69	0.000439306480977384	-0.232086679567004	-0.0692878434318969	0.00197661183793922
"GOT1"	70	-0.376328263555745	0.0612558650636762	-6.14354663287422	69	4.55717870688072e-08	-0.498530370712954	-0.254126156398537	6.25540458391263e-07
"GOT2"	70	-0.474757838220587	0.0526909963534086	-9.01022700417914	69	2.85904115683883e-13	-0.579873499813252	-0.369642176627922	2.246038105562e-11
"GPAA1"	70	-0.190644494550289	0.041358268750342	-4.60958595005774	69	1.79729506123339e-05	-0.273151983170556	-0.108137005930021	0.000118161230137164
"GPALPP1"	69	-0.0729860105958127	0.0475879548198011	-1.53370765506072	68	0.129741354299761	-0.167946295949013	0.0219742747573874	0.242082189766673
"GPAM"	70	-0.644703015997064	0.0929358166834991	-6.9370780717692	69	1.72918050602689e-09	-0.830104897389057	-0.45930113460507	3.59144962403451e-08
"GPANK1"	70	0.0162271009057565	0.0485833394306883	0.334005465575436	69	0.73938845811044	-0.0806940093420938	0.113148211153607	0.828422809263853
"GPAT2"	33	-0.400044420964377	0.0897053966494869	-4.45953572367004	32	9.48338721431527e-05	-0.582768334488031	-0.217320507440723	0.00051269923272713
"GPAT3"	61	-0.111804582150053	0.130710074644327	-0.855363157386937	60	0.395752997921298	-0.373263659776422	0.149654495476315	0.54924563598137
"GPAT4"	70	-0.087114896852681	0.0381199408602166	-2.28528415540113	69	0.0253737837793608	-0.163162098095929	-0.0110676956094328	0.0654923518494044
"GPATCH1"	68	-0.104468297227767	0.0520676280219682	-2.00639631948839	67	0.0488528648455178	-0.208395717733898	-0.000540876721637135	0.111774548530508
"GPATCH11"	68	-0.338259488958599	0.0777911737668062	-4.3483016463101	67	4.77933766991706e-05	-0.493531321666577	-0.18298765625062	0.000279945255331662
"GPATCH2"	69	-0.0602288191532379	0.0491032039386107	-1.22657615638557	68	0.22421219490239	-0.158212737046399	0.0377550987399232	0.36425039602496
"GPATCH2L"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GPATCH3"	68	-0.14800450350825	0.0542209767155398	-2.72965395449676	67	0.00809199320737288	-0.256230025995879	-0.0397789810206215	0.024886263892055
